skill_a,skill_b,cooccur,meaning,relation
Data Visualization,MongoDB,0.038,0.209,complements
CSS,Ruby,0.038,0.441,complements
Agile / Scrum,SSIS,0.038,0.204,complements
Angular,Hadoop,0.038,0.169,complements
Kanban,Stakeholder Mgmt,0.038,0.292,complements
Data Governance,MongoDB,0.038,0.23,complements
Git,Rust,0.038,0.358,complements
GraphQL,MySQL,0.038,0.514,complements
Django,Linux,0.038,0.313,complements
Grafana,SQL,0.038,0.239,complements
BigQuery,Google Analytics,0.038,0.308,complements
Data Pipeline,GitHub,0.038,0.101,complements
REST API,Splunk,0.038,0.239,complements
Data Analysis,LLMs / GenAI,0.037,0.168,complements
Excel,Machine Learning,0.037,0.288,complements
Next.js,PostgreSQL,0.037,0.154,complements
Databricks,Jenkins,0.037,0.254,complements
Machine Learning,Terraform,0.037,0.173,complements
Git,Tableau,0.037,0.243,complements
Jenkins,Snowflake,0.037,0.334,complements
MongoDB,Tableau,0.037,0.25,complements
Prompt Engineering,TensorFlow,0.037,0.279,complements
C#,GitLab,0.037,0.218,complements
.NET,OWASP,0.037,0.281,complements
Data Visualization,Node.js,0.037,0.161,complements
Bash,DynamoDB,0.037,0.154,complements
Databricks,Flink,0.037,0.498,complements
DevOps,PyTorch,0.037,0.156,complements
Next.js,REST API,0.037,0.537,complements
GitLab,Unit Testing,0.037,0.18,complements
JSON,Swift,0.037,0.334,complements
Jupyter,Kafka,0.037,0.195,complements
Kubernetes,ServiceNow,0.037,0.432,complements
Agile / Scrum,Grafana,0.037,0.204,complements
ArgoCD,PowerShell,0.037,0.205,complements
Spring,Unix,0.037,0.324,complements
Data Visualization,Salesforce,0.037,0.158,complements
Data Governance,Jira,0.037,0.285,complements
Ansible,Zero Trust,0.037,0.235,complements
JavaScript,Scala,0.037,0.673,complements
Git,Scala,0.037,0.369,complements
Docker,System Design,0.037,0.218,complements
Go,LLMs / GenAI,0.037,0.2,complements
Airflow,PyTorch,0.037,0.114,complements
Fivetran,Python,0.037,0.452,complements
Angular,Big Data,0.037,0.082,complements
Oracle,PowerShell,0.037,0.213,complements
Agile / Scrum,Looker,0.037,0.133,complements
Metabase,R,0.037,0.347,complements
Google Analytics,JavaScript,0.037,0.41,complements
Data Visualization,Informatica,0.037,0.235,complements
Distributed Systems,Spring,0.037,0.304,complements
Hive,Jenkins,0.037,0.22,complements
Flink,Prometheus,0.037,0.34,complements
AWS,Looker,0.037,0.369,complements
Kanban,Spring Boot,0.037,0.239,complements
Data Modeling,REST API,0.037,0.246,complements
C++,Cybersecurity,0.037,0.171,complements
PostgreSQL,Rust,0.037,0.239,complements
Datadog,REST API,0.037,0.227,complements
Amplitude,Data Visualization,0.037,0.293,complements
Confluence,Hive,0.037,0.172,complements
Data Modeling,Superset,0.037,0.407,complements
PowerShell,Prometheus,0.037,0.191,complements
ETL,SAS,0.037,0.286,complements
Java,PowerShell,0.037,0.374,complements
NoSQL,PyTorch,0.037,0.074,complements
Data Pipeline,Deep Learning,0.037,0.245,complements
C++,Pandas,0.037,0.212,complements
Java,Risk Management,0.037,0.15,complements
Big Data,PHP,0.037,0.194,complements
Agile / Scrum,Flink,0.037,0.079,complements
Linux,Snowflake,0.037,0.177,complements
Docker,ETL,0.037,0.357,complements
GitLab,Software Architecture,0.037,0.196,complements
CSS,Data Analysis,0.037,0.121,complements
ETL,XML,0.037,0.363,complements
Excel,Looker,0.037,0.445,complements
Incident Response,Kubernetes,0.037,0.009,complements
Elasticsearch,Unix,0.037,0.138,complements
Pandas,dbt,0.037,0.337,complements
Flask,TypeScript,0.037,0.348,complements
GitHub,Software Architecture,0.037,0.21,complements
Jenkins,MuleSoft,0.036,0.543,complements
Databricks,Git,0.036,0.137,complements
Flink,Microservices,0.036,0.27,complements
Data Warehousing,Linux,0.036,0.115,complements
Django,GitHub,0.036,0.301,complements
Ansible,Spark,0.036,0.279,complements
ClickHouse,Spark,0.036,0.443,complements
.NET,Power BI,0.036,0.258,complements
CI/CD,Hive,0.036,0.075,complements
Bash,NoSQL,0.036,0.161,complements
C++,Kotlin,0.036,0.504,complements
CI/CD,NLP,0.036,0.164,complements
Spring,Terraform,0.036,0.334,complements
MuleSoft,ServiceNow,0.036,0.501,complements
LLMs / GenAI,scikit-learn,0.036,0.152,complements
Kubernetes,NumPy,0.036,0.161,complements
CISSP,Zero Trust,0.036,0.361,complements
Django,jQuery,0.036,0.419,complements
ETL,Jenkins,0.036,0.216,complements
Databricks,Fivetran,0.036,0.335,complements
Big Data,Linear,0.036,0.153,complements
MLflow,Scala,0.036,0.25,complements
Ansible,Hadoop,0.036,0.239,complements
Active Directory,DevOps,0.036,0.29,complements
Bash,Microservices,0.036,0.262,complements
NoSQL,Splunk,0.036,0.204,complements
Workday,Zero Trust,0.036,0.212,complements
Penetration Testing,PowerShell,0.036,0.056,complements
JavaScript,Splunk,0.036,0.349,complements
ETL,MySQL,0.036,0.355,complements
HTML,Machine Learning,0.036,0.169,complements
Confluence,GraphQL,0.036,0.29,complements
Kanban,XML,0.036,0.285,complements
Oracle,PHP,0.036,0.258,complements
DevOps,dbt,0.036,0.247,complements
JavaScript,OWASP,0.036,0.461,complements
CI/CD,MuleSoft,0.036,0.26,complements
Cybersecurity,Machine Learning,0.036,0.148,complements
Data Modeling,Unit Testing,0.036,0.236,complements
Windows,jQuery,0.036,0.219,complements
Django,Next.js,0.036,0.654,complements
Kanban,Software Architecture,0.036,0.291,complements
Oracle,Redshift,0.036,0.465,complements
Ansible,REST API,0.036,0.276,complements
Figma,Stakeholder Mgmt,0.036,0.11,complements
Dynamics 365,SQL,0.036,0.269,complements
Linux,Spring Boot,0.036,0.427,complements
HTML,MuleSoft,0.036,0.154,complements
C#,Data Analysis,0.036,0.216,complements
Data Visualization,Jupyter,0.036,0.297,complements
C#,dbt,0.036,0.193,complements
CI/CD,LLMs / GenAI,0.036,0.202,complements
Fivetran,Tableau,0.036,0.445,complements
Datadog,React,0.036,0.204,complements
Excel,Google Analytics,0.036,0.334,complements
Agile / Scrum,MATLAB,0.036,0.133,complements
Microservices,Splunk,0.036,0.181,complements
BigQuery,Hive,0.036,0.521,complements
PHP,Vue,0.036,0.466,complements
C++,LLMs / GenAI,0.036,0.133,complements
REST API,Scala,0.036,0.353,complements
BigQuery,Java,0.036,0.25,complements
Flink,Grafana,0.036,0.286,complements
Azure,Django,0.036,0.355,complements
C#,Rust,0.036,0.492,complements
Rust,Scala,0.036,0.553,complements
.NET,Linux,0.036,0.274,complements
Grafana,JavaScript,0.036,0.284,complements
TypeScript,jQuery,0.036,0.559,complements
MATLAB,Software Architecture,0.036,0.196,complements
Cassandra,Confluence,0.036,0.217,complements
Firewalls,ServiceNow,0.036,0.245,complements
GitLab,Spring Boot,0.036,0.36,complements
Big Data,GitHub,0.036,0.134,complements
Kotlin,MongoDB,0.036,0.265,complements
Django,Terraform,0.036,0.329,complements
Angular,C++,0.035,0.223,complements
Angular,Machine Learning,0.035,0.129,complements
PostgreSQL,PowerShell,0.035,0.168,complements
GitHub,Unix,0.035,0.22,complements
CSS,Unix,0.035,0.257,complements
Hadoop,Linear,0.035,0.036,complements
Flask,GitHub,0.035,0.285,complements
C,Machine Learning,0.035,0.087,complements
Data Analysis,GitHub,0.035,0.097,complements
Agile / Scrum,CISSP,0.035,0.174,complements
.NET,Unix,0.035,0.272,complements
ArgoCD,Azure,0.035,0.282,complements
FastAPI,Terraform,0.035,0.35,complements
Linear,SAS,0.035,0.372,complements
Go,Kotlin,0.035,0.666,complements
Jira,R,0.035,0.223,complements
Ansible,Cybersecurity,0.035,0.236,complements
Confluence,Salesforce,0.035,0.413,complements
Git,Pulumi,0.035,0.305,complements
SSIS,XML,0.035,0.25,complements
PostgreSQL,Superset,0.035,0.487,complements
Kanban,Terraform,0.035,0.24,complements
Agile / Scrum,Next.js,0.035,0.053,complements
Flink,Kanban,0.035,0.268,complements
Confluence,PowerShell,0.035,0.247,complements
Angular,Ruby,0.035,0.446,complements
Prototyping,SQL,0.035,-0.017,complements
Git,Power BI,0.035,0.302,complements
Dagster,Python,0.035,0.515,complements
PHP,Terraform,0.035,0.419,complements
Incident Response,Unix,0.035,0.089,complements
Cassandra,Datadog,0.035,0.156,complements
Hive,NumPy,0.035,0.087,complements
Big Data,DynamoDB,0.035,0.326,complements
Data Pipeline,Redis,0.035,0.323,complements
Data Analysis,React,0.035,0.082,complements
Jenkins,Pulumi,0.035,0.399,complements
Svelte,TypeScript,0.035,0.665,complements
Confluence,R,0.035,0.14,complements
C++,Helm,0.035,0.196,complements
React,Rust,0.035,0.244,complements
React,Spark,0.035,0.097,complements
ETL,Jira,0.035,0.27,complements
Deep Learning,Hive,0.035,0.328,complements
Confluence,ServiceNow,0.035,0.339,complements
AWS,Salesforce,0.035,0.562,complements
Cassandra,Jira,0.035,0.105,complements
.NET,PostgreSQL,0.035,0.216,complements
Oracle,System Design,0.035,0.33,complements
Distributed Systems,GraphQL,0.035,0.181,complements
Data Warehousing,SAP,0.035,0.238,complements
Data Analysis,Jupyter,0.035,0.205,complements
Software Architecture,XML,0.035,0.414,complements
C,Kubernetes,0.035,0.218,complements
Data Analysis,REST API,0.035,0.097,complements
R,Risk Management,0.035,0.013,complements
Machine Learning,dbt,0.035,0.263,complements
Data Modeling,Microservices,0.035,0.217,complements
Data Analysis,Node.js,0.035,0.042,complements
NLP,System Design,0.035,0.133,complements
MATLAB,TensorFlow,0.035,0.177,complements
Kanban,Prototyping,0.035,0.21,complements
Spring Boot,Unix,0.035,0.298,complements
Data Visualization,Superset,0.035,0.511,complements
Cybersecurity,SQL,0.035,0.165,complements
GitHub,PHP,0.035,0.327,complements
Data Warehousing,Jira,0.035,0.286,complements
Data Warehousing,Kanban,0.035,0.165,complements
Azure,Flask,0.035,0.274,complements
C,Distributed Systems,0.035,0.367,complements
Elasticsearch,Unit Testing,0.035,0.082,complements
A/B Testing,NLP,0.035,0.156,complements
Big Data,Terraform,0.035,0.374,complements
Ruby,XGBoost,0.034,0.133,complements
Confluence,Data Modeling,0.034,0.308,complements
React,Scala,0.034,0.28,complements
C++,Hive,0.034,0.214,complements
Django,Microservices,0.034,0.378,complements
Burp Suite,PowerShell,0.034,0.23,complements
Azure,System Design,0.034,0.251,complements
Datadog,Distributed Systems,0.034,0.23,complements
Azure,dbt,0.034,0.199,complements
Spring,Vue,0.034,0.368,complements
Cybersecurity,Kubernetes,0.034,0.067,complements
Data Modeling,Jenkins,0.034,0.122,complements
BigQuery,Scala,0.034,0.299,complements
Git,Hive,0.034,0.158,complements
C++,Data Visualization,0.034,0.169,complements
SageMaker,Scala,0.034,0.348,complements
Hive,Jira,0.034,0.132,complements
MongoDB,Prometheus,0.034,0.309,complements
Grafana,NoSQL,0.034,0.178,complements
MATLAB,Pandas,0.034,0.247,complements
DevOps,Redshift,0.034,0.194,complements
Data Analysis,Workday,0.034,0.12,complements
Kanban,Power BI,0.034,0.318,complements
Flask,GCP,0.034,0.274,complements
Active Directory,Ansible,0.034,0.46,complements
Spark,Spring Boot,0.034,0.331,complements
Data Warehousing,Git,0.034,0.364,complements
Kanban,MySQL,0.034,0.143,complements
Helm,REST API,0.034,0.209,complements
C++,Elasticsearch,0.034,0.211,complements
Excel,Workday,0.034,0.203,complements
SSIS,jQuery,0.034,0.201,complements
Big Data,Jira,0.034,0.194,complements
Firebase,Unit Testing,0.034,0.081,complements
Docker,LLMs / GenAI,0.034,0.148,complements
Data Governance,Kubernetes,0.034,0.064,complements
.NET,Ruby,0.034,0.416,complements
Data Visualization,Docker,0.034,0.104,complements
DynamoDB,Snowflake,0.034,0.474,complements
Django,Go,0.034,0.455,complements
Statistical Analysis,scikit-learn,0.034,0.169,complements
Python,Swift,0.034,0.429,complements
Git,SageMaker,0.034,0.289,complements
Unit Testing,Vue,0.034,0.153,complements
GCP,Helm,0.034,0.374,complements
Pulumi,Python,0.034,0.526,complements
ETL,Pandas,0.034,0.22,complements
GitHub,GraphQL,0.034,0.159,complements
C#,Terraform,0.034,0.365,complements
Big Data,Informatica,0.034,0.309,complements
MySQL,PowerShell,0.034,0.168,complements
Burp Suite,Python,0.034,0.27,complements
Big Data,Oracle,0.034,0.384,complements
Distributed Systems,TensorFlow,0.034,0.201,complements
Firewalls,Unix,0.034,0.227,complements
Pandas,SAS,0.034,0.368,complements
GraphQL,Kanban,0.034,0.146,complements
Data Pipeline,Oracle,0.034,0.296,complements
Data Warehousing,Superset,0.034,0.39,complements
Angular,Ansible,0.034,0.249,complements
MuleSoft,SQL,0.034,0.293,complements
Big Data,JSON,0.034,0.323,complements
Ruby,TypeScript,0.034,0.49,complements
FastAPI,Kubernetes,0.034,0.223,complements
PowerShell,XML,0.034,0.268,complements
Confluence,Flink,0.034,0.106,complements
Flink,Terraform,0.034,0.243,complements
DevOps,TensorFlow,0.034,0.156,complements
AWS,XGBoost,0.034,0.077,complements
DevOps,Tableau,0.034,0.28,complements
Software Architecture,Spring Boot,0.034,0.235,complements
Informatica,Java,0.034,0.505,complements
Python,Vector Databases,0.033,0.208,complements
A/B Testing,Excel,0.033,0.3,complements
Git,Jupyter,0.033,0.365,complements
Big Data,JavaScript,0.033,0.204,complements
.NET,NoSQL,0.033,0.119,complements
Data Governance,Docker,0.033,-0.011,complements
ETL,NLP,0.033,0.196,complements
ArgoCD,Splunk,0.033,0.115,complements
Databricks,Kubernetes,0.033,0.318,complements
Azure,Vue,0.033,0.113,complements
Hadoop,Kotlin,0.033,0.124,complements
Data Analysis,Jenkins,0.033,0.073,complements
Oracle,SAS,0.033,0.403,complements
Data Warehousing,Fivetran,0.033,0.476,complements
Ansible,Kanban,0.033,0.285,complements
C#,MATLAB,0.033,0.364,complements
JavaScript,SSIS,0.033,0.235,complements
Azure,MuleSoft,0.033,0.356,complements
Linux,jQuery,0.033,0.16,complements
Cassandra,Dagster,0.033,0.256,complements
Git,Next.js,0.033,0.203,complements
Microsoft Fabric,SQL,0.033,0.286,complements
Distributed Systems,Snowflake,0.033,0.139,complements
Angular,System Design,0.033,0.197,complements
Data Pipeline,Microservices,0.033,0.233,complements
Big Data,Pandas,0.033,0.181,complements
Data Pipeline,Jenkins,0.033,0.491,complements
Figma,Google Analytics,0.033,0.104,complements
Big Data,Confluence,0.033,0.223,complements
Flask,GraphQL,0.033,0.41,complements
Cybersecurity,Java,0.033,0.193,complements
Hadoop,SageMaker,0.033,0.36,complements
MATLAB,SQL,0.033,0.198,complements
.NET,MongoDB,0.033,0.169,complements
Datadog,Microservices,0.033,0.3,complements
C++,Flask,0.033,0.353,complements
C,JavaScript,0.033,0.59,complements
Bash,OWASP,0.033,0.184,complements
Datadog,Helm,0.033,0.278,complements
Redshift,Terraform,0.033,0.355,complements
Data Pipeline,Flask,0.033,0.146,complements
CI/CD,Flink,0.033,0.184,complements
Windows,Zero Trust,0.033,0.379,complements
Datadog,NoSQL,0.033,0.132,complements
Data Visualization,TypeScript,0.033,0.157,complements
A/B Testing,React,0.033,0.099,complements
Linux,NumPy,0.033,0.155,complements
Hadoop,Splunk,0.033,0.267,complements
Risk Management,Zero Trust,0.033,0.283,complements
Django,Unit Testing,0.033,0.156,complements
Datadog,TypeScript,0.033,0.075,complements
HTML,Power BI,0.033,0.259,complements
A/B Testing,Data Pipeline,0.033,0.086,complements
BigQuery,NoSQL,0.033,0.347,complements
Active Directory,Bash,0.033,0.399,complements
Django,Software Architecture,0.033,0.248,complements
Bash,Redis,0.033,0.233,complements
Flink,MLflow,0.033,0.219,complements
Snowflake,Superset,0.033,0.502,complements
Unit Testing,Unix,0.033,0.174,complements
DynamoDB,FastAPI,0.033,0.275,complements
Kafka,R,0.033,0.206,complements
Dagster,Kafka,0.033,0.411,complements
Jira,Prometheus,0.033,0.285,complements
Go,Jira,0.033,0.343,complements
Airflow,Git,0.033,0.275,complements
C++,Risk Management,0.033,0.1,complements
CI/CD,Cybersecurity,0.033,0.214,complements
CI/CD,Salesforce,0.033,0.135,complements
Airflow,TensorFlow,0.033,0.114,complements
FastAPI,Jenkins,0.033,0.331,complements
GCP,Vue,0.033,0.113,complements
FastAPI,TypeScript,0.033,0.237,complements
Flink,PyTorch,0.033,0.235,complements
Kubernetes,SageMaker,0.033,0.367,complements
ServiceNow,Workday,0.033,0.445,complements
SIEM,Unix,0.033,0.27,complements
DevOps,Flask,0.033,0.222,complements
SSIS,Unit Testing,0.033,0.218,complements
AWS Security,Windows,0.033,0.148,complements
Kubernetes,Pandas,0.033,0.031,complements
AWS,Penetration Testing,0.033,0.106,complements
Confluence,Data Visualization,0.033,0.32,complements
BigQuery,Flink,0.033,0.35,complements
Kafka,Pandas,0.033,0.154,complements
PHP,Windows,0.033,0.489,complements
Spring Boot,Vue,0.033,0.406,complements
ETL,REST API,0.033,0.242,complements
Data Visualization,Flink,0.032,0.153,complements
ArgoCD,Linux,0.032,0.265,complements
OWASP,Python,0.032,0.259,complements
Data Governance,Kanban,0.032,0.213,complements
Big Data,Redis,0.032,0.457,complements
Bash,Distributed Systems,0.032,0.342,complements
JSON,System Design,0.032,0.331,complements
Looker,Statistical Analysis,0.032,0.252,complements
ETL,Salesforce,0.032,0.163,complements
MuleSoft,jQuery,0.032,0.179,complements
PowerShell,Risk Management,0.032,0.154,complements
SageMaker,Snowflake,0.032,0.197,complements
Figma,Kanban,0.032,0.229,complements
LLMs / GenAI,Looker,0.032,0.094,complements
GitLab,Incident Response,0.032,0.049,complements
DevOps,Pulumi,0.032,0.312,complements
Angular,Windows,0.032,0.198,complements
CSS,MuleSoft,0.032,0.157,complements
BigQuery,Datadog,0.032,0.237,complements
JSON,Redis,0.032,0.362,complements
Java,Prototyping,0.032,0.122,complements
FastAPI,REST API,0.032,0.519,complements
Data Visualization,React,0.032,0.247,complements
Confluence,Prototyping,0.032,0.221,complements
SIEM,System Design,0.032,0.165,complements
Active Directory,Burp Suite,0.032,0.187,complements
JavaScript,R,0.032,0.467,complements
Cybersecurity,ServiceNow,0.032,0.197,complements
Flask,Microservices,0.032,0.389,complements
Azure,Stakeholder Mgmt,0.032,0.158,complements
ETL,Unit Testing,0.032,0.265,complements
Kanban,User Research,0.032,0.304,complements
Machine Learning,Redis,0.032,0.128,complements
Data Modeling,Kanban,0.032,0.262,complements
MuleSoft,React,0.032,0.334,complements
NoSQL,System Design,0.032,0.184,complements
Datadog,Jira,0.032,0.323,complements
GCP,JSON,0.032,0.266,complements
Kanban,PyTorch,0.032,0.151,complements
DynamoDB,JSON,0.032,0.357,complements
CI/CD,Power BI,0.032,0.263,complements
Airflow,Elasticsearch,0.032,0.281,complements
Flink,MySQL,0.032,0.244,complements
VMware,Zero Trust,0.032,0.222,complements
Data Analysis,XGBoost,0.032,0.146,complements
A/B Testing,Data Modeling,0.032,0.253,complements
Redis,Vue,0.032,0.114,complements
Informatica,dbt,0.032,0.484,complements
Microservices,PHP,0.032,0.421,complements
Python,Superset,0.032,0.427,complements
Data Visualization,PostgreSQL,0.032,0.245,complements
Git,Snowflake,0.032,0.179,complements
System Design,Terraform,0.032,0.45,complements
BigQuery,Redis,0.032,0.387,complements
Pandas,PostgreSQL,0.032,0.343,complements
Power BI,jQuery,0.032,0.236,complements
Jira,Ruby,0.032,0.282,complements
Confluence,Go,0.032,0.339,complements
Kafka,TensorFlow,0.032,0.153,complements
DevOps,MuleSoft,0.032,0.339,complements
GitLab,VMware,0.032,0.264,complements
Oracle,ServiceNow,0.032,0.301,complements
Data Pipeline,XGBoost,0.032,0.178,complements
Cybersecurity,System Design,0.032,0.187,complements
Java,ServiceNow,0.032,0.379,complements
Confluence,Prometheus,0.032,0.239,complements
GitLab,Redis,0.032,0.245,complements
Python,Salesforce,0.032,0.328,complements
HTML,PowerShell,0.032,0.201,complements
Data Warehousing,Jupyter,0.032,0.316,complements
Elasticsearch,XML,0.032,0.336,complements
Flink,Jenkins,0.032,0.451,complements
Git,Linear,0.032,0.456,complements
BigQuery,MySQL,0.032,0.425,complements
Ansible,Node.js,0.032,0.348,complements
Data Analysis,ServiceNow,0.032,0.157,complements
OWASP,PowerShell,0.031,0.194,complements
Oracle,R,0.031,0.285,complements
CI/CD,Incident Response,0.031,0.263,complements
AWS,Statistical Analysis,0.031,0.04,complements
Data Modeling,Jupyter,0.031,0.243,complements
Databricks,DynamoDB,0.031,0.349,complements
Elasticsearch,Kanban,0.031,0.2,complements
Data Visualization,Microservices,0.031,0.172,complements
Kotlin,Machine Learning,0.031,0.15,complements
Swift,XML,0.031,0.356,complements
CI/CD,Informatica,0.031,0.207,complements
Airflow,Distributed Systems,0.031,0.343,complements
Data Modeling,GitHub,0.031,0.082,complements
Informatica,R,0.031,0.23,complements
Elasticsearch,FastAPI,0.031,0.323,complements
Helm,Spring Boot,0.031,0.397,complements
.NET,System Design,0.031,0.401,complements
Kotlin,XML,0.031,0.362,complements
ETL,GitHub,0.031,0.111,complements
Informatica,Kafka,0.031,0.404,complements
Java,Pandas,0.031,0.207,complements
Data Pipeline,Go,0.031,0.311,complements
Informatica,Jenkins,0.031,0.513,complements
Flink,Go,0.031,0.268,complements
JavaScript,NetSuite,0.031,0.153,complements
Next.js,Vue,0.031,0.58,complements
Distributed Systems,Kotlin,0.031,0.313,complements
C#,Salesforce,0.031,0.213,complements
LLMs / GenAI,Risk Management,0.031,0.084,complements
FastAPI,MongoDB,0.031,0.387,complements
Kanban,NLP,0.031,0.135,complements
DynamoDB,Unix,0.031,0.215,complements
Git,Prototyping,0.031,0.12,complements
Grafana,JSON,0.031,0.349,complements
Data Analysis,Flink,0.031,0.105,complements
BigQuery,NumPy,0.031,0.206,complements
ETL,Statistical Analysis,0.031,0.329,complements
GitLab,Spark,0.031,0.366,complements
Jira,User Research,0.031,0.244,complements
Datadog,dbt,0.031,0.172,complements
Docker,SageMaker,0.031,0.313,complements
Data Visualization,LLMs / GenAI,0.031,0.144,complements
Deep Learning,Prompt Engineering,0.031,0.191,complements
C,SQL,0.031,0.308,complements
C,Jenkins,0.031,0.249,complements
Agile / Scrum,SAP,0.031,0.243,complements
Data Governance,Salesforce,0.031,0.341,complements
Software Architecture,Windows,0.031,0.379,complements
Python,jQuery,0.031,0.208,complements
Kafka,dbt,0.031,0.224,complements
Django,GraphQL,0.031,0.363,complements
Data Pipeline,REST API,0.031,0.14,complements
MySQL,Software Architecture,0.031,0.232,complements
Data Modeling,Microsoft Fabric,0.031,0.344,complements
Azure,BigQuery,0.031,0.404,complements
A/B Testing,HTML,0.031,0.091,complements
Kotlin,MLflow,0.031,0.169,complements
Oracle,Workday,0.031,0.275,complements
MySQL,VMware,0.031,0.129,complements
Big Data,React,0.031,0.053,complements
Data Analysis,Figma,0.031,0.098,complements
Linear,SageMaker,0.031,0.211,complements
Docker,Jupyter,0.031,0.163,complements
FastAPI,GitHub,0.031,0.257,complements
Hadoop,Spring,0.031,0.221,complements
Data Visualization,MATLAB,0.031,0.227,complements
MongoDB,R,0.031,0.119,complements
Kanban,Spring,0.031,0.077,complements
AWS,ServiceNow,0.031,0.449,complements
Cassandra,JSON,0.031,0.304,complements
Databricks,Oracle,0.031,0.295,complements
Data Analysis,TypeScript,0.031,0.08,complements
Kotlin,Spark,0.031,0.184,complements
C++,JSON,0.031,0.424,complements
GCP,Risk Management,0.03,0.072,complements
Ruby,Spark,0.03,0.227,complements
AWS,FastAPI,0.03,0.3,complements
Spark,Trino,0.03,0.624,complements
Bash,HTML,0.03,0.302,complements
DynamoDB,Jira,0.03,0.19,complements
CI/CD,Pulumi,0.03,0.324,complements
Jira,SSIS,0.03,0.329,complements
Hadoop,Ruby,0.03,0.229,complements
GitHub,Informatica,0.03,0.191,complements
GitLab,Machine Learning,0.03,0.089,complements
Distributed Systems,NLP,0.03,0.164,complements
FastAPI,Kafka,0.03,0.349,complements
FastAPI,NLP,0.03,0.118,complements
PostgreSQL,Splunk,0.03,0.336,complements
GCP,SIEM,0.03,0.174,complements
NumPy,SageMaker,0.03,0.216,complements
C++,Flink,0.03,0.279,complements
DevOps,OWASP,0.03,0.193,complements
Kubernetes,Redshift,0.03,0.311,complements
Amplitude,Data Analysis,0.03,0.264,complements
GraphQL,Prometheus,0.03,0.294,complements
Alteryx,Databricks,0.03,0.275,complements
Go,Vue,0.03,0.366,complements
Kafka,NLP,0.03,0.047,complements
Cassandra,R,0.03,0.068,complements
Data Modeling,Data Observability,0.03,0.32,complements
Firebase,JavaScript,0.03,0.401,complements
NumPy,Statistical Analysis,0.03,0.137,complements
DevOps,LLMs / GenAI,0.03,0.143,complements
C#,R,0.03,0.396,complements
Hadoop,Microsoft Fabric,0.03,0.319,complements
JSON,Software Architecture,0.03,0.408,complements
Ansible,CISSP,0.03,0.241,complements
Elasticsearch,Oracle,0.03,0.321,complements
Flask,GitLab,0.03,0.317,complements
SQL,Superset,0.03,0.335,complements
Scala,Software Architecture,0.03,0.308,complements
Python,ServiceNow,0.03,0.461,complements
Looker,NumPy,0.03,0.213,complements
Flink,R,0.03,0.253,complements
Databricks,Jira,0.03,0.07,complements
Flink,Git,0.03,0.25,complements
Data Modeling,HTML,0.03,0.339,complements
Confluence,Scala,0.03,0.239,complements
Agile / Scrum,OWASP,0.03,0.161,complements
C#,Elasticsearch,0.03,0.16,complements
Prompt Engineering,Python,0.03,0.306,complements
MATLAB,NLP,0.03,0.186,complements
Data Warehousing,Pandas,0.03,0.273,complements
Prefect,Spark,0.03,0.512,complements
TensorFlow,Vector Databases,0.03,0.161,complements
Data Visualization,Elasticsearch,0.03,0.224,complements
GitHub,SageMaker,0.03,0.289,complements
Looker,SAS,0.03,0.407,complements
Ansible,Oracle,0.03,0.231,complements
Elasticsearch,Redshift,0.03,0.455,complements
Distributed Systems,Spring Boot,0.03,0.304,complements
Agile / Scrum,Prometheus,0.03,0.074,complements
Microservices,MuleSoft,0.03,0.517,complements
Data Visualization,Linux,0.03,0.202,complements
Agile / Scrum,Rust,0.03,0.118,complements
FastAPI,TensorFlow,0.03,0.204,complements
GitLab,OWASP,0.03,0.12,complements
Flask,Linux,0.03,0.281,complements
GitHub,Next.js,0.03,0.231,complements
Distributed Systems,Pulumi,0.03,0.42,complements
Azure,Looker,0.03,0.369,complements
C,DevOps,0.03,0.385,complements
Git,SSIS,0.03,0.286,complements
Redis,Rust,0.03,0.391,complements
Terraform,Zero Trust,0.03,0.29,complements
Airflow,Informatica,0.03,0.53,complements
A/B Testing,CSS,0.03,0.079,complements
Jira,Scala,0.03,0.265,complements
GraphQL,Machine Learning,0.03,0.184,complements
Ansible,Unit Testing,0.03,0.286,complements
PowerShell,jQuery,0.03,0.162,complements
Active Directory,Unix,0.03,0.306,complements
Docker,Redshift,0.03,0.162,complements
C,Data Analysis,0.03,0.049,complements
Docker,Swift,0.03,0.328,complements
Airflow,NLP,0.03,0.072,complements
Data Analysis,Elasticsearch,0.03,0.256,complements
ETL,Flink,0.03,0.29,complements
C#,OWASP,0.03,0.337,complements
Databricks,Docker,0.03,0.131,complements
Bash,REST API,0.03,0.206,complements
Kotlin,TensorFlow,0.03,0.185,complements
Firebase,REST API,0.03,0.338,complements
DevOps,Firewalls,0.03,0.131,complements
Kotlin,Redis,0.03,0.334,complements
Deep Learning,Vector Databases,0.03,0.194,complements
Java,SageMaker,0.03,0.286,complements
JSON,Splunk,0.03,0.429,complements
Linux,Pandas,0.03,0.129,complements
JavaScript,Tableau,0.03,0.302,complements
Kafka,Power BI,0.03,0.255,complements
OWASP,REST API,0.029,0.418,complements
Confluence,Datadog,0.029,0.131,complements
Hadoop,Spring Boot,0.029,0.281,complements
Flink,Jira,0.029,0.139,complements
Confluence,Data Warehousing,0.029,0.257,complements
Risk Management,ServiceNow,0.029,0.101,complements
SQL,Workday,0.029,0.136,complements
Cybersecurity,Docker,0.029,0.05,complements
GitHub,Redshift,0.029,0.15,complements
