role,role_label,job_family,postings,companies,median_salary,salary_companies,pct_senior_or_above,pct_flexible_when_stated,pct_stated_worksite,top_skills,example_title,example_company,description,summary
oracle dba,Oracle DBA,database,31,25,138050.0,1,64.5,46.2,41.9,"Oracle, SQL, Linux, AWS, Terraform, Ansible",Senior Oracle DBA,DXC Technology,"Job Description
Join our team at a market-leading IT solutions company dedicated to delivering cutting-edge technology solutions to businesses worldwide. With a commitment to excellence and a passion for innovation, we empower organisations to thrive in the digital era.
As an Oracle Database Analyst at our company, you will play a pivotal role in ensuring the efficiency, security, and integrity of Oracle databases for our clients. Collaborate with cross-functional teams, analyse and implement strategic solutions, and contribute to the ongoing success of our clients and the advancement of our company.
Key Responsibilities
Install, configure, and maintain Oracle database instances
Conduct regular database monitoring and performance tuning for optimal system functionality
Implement and maintain robust database security measures
Work closely with development teams to design and deploy effective database solutions
Execute regular backups and implement disaster recovery plans
Diagnose and troubleshoot database-related issues, providing effective resolutions
Stay abreast of industry trends and best practices to enhance database performance
Qualifications
Bachelor's degree in Computer Scie",Oracle DBA postings typically ask you to: Develop work plans for assigned projects and manage the execution. Design and implement logical and physical databases of a moderately to large complex nature. Administer end-user access and security at the database level. Ensure that data is appropriately protected via database backup and related strategies.
scada and automation engineer,Scada And Automation Engineer,devops,31,1,131000.0,1,87.1,100.0,100.0,SAS,SCADA and Automation Engineer - Senior Level,POWER Engineers,"POWER Engineers, Inc. is seeking a Senior SCADA and Automation Engineer to join our SCADA and Analytical Services (SAS) team. This position is posted in multiple POWER office locations with the ability to work remotely from a mutually acceptable location (please note in the application questions where you prefer to be located).
Roles And Responsibilities
The successful candidate will be responsible for successful completion of assigned projects and for maintaining and improving client relationships as well as developing and growing new technical service areas. Completion of these functions requires technical competence in primary production roles as well as leadership competence in working with clients and mentoring and supervising team members assigned to projects. Assigned projects will include SCADA, automation, and communications for utility and industrial/commercial clients throughout the United States. Systems to be analyzed will include conventional and renewable generation facilities, substations, and transmission and distribution systems. Technical disciplines include the following areas:
Networking and Communications: design and configure network and communication paths f",Postings for Scada And Automation Engineer do not phrase their day-to-day duties consistently enough to summarise automatically.
systems engineer manager,Systems Engineer Manager,devops,31,28,200000.0,9,100.0,28.6,22.6,"System Design, Cybersecurity, Risk Management, Segment, Software Architecture, Excel",Systems Engineer Manager,Energy Jobline,"We are currently seeking an experienced Systems Engineer Manager for a leadership role in our company, e-ppl Ltd. As the Systems Engineer Manager, you will be responsible for overseeing and managing the systems engineering team to ensure the successful development and delivery of our projects.
Benefits
Competitive rates depending on experience starting from £40 per hour.
Contracting role
Paid via limited company (OUTSIDE IR35) or umbrella company.
12 months +
Free onsite parking
Responsibilities
A Whole Vehicle (Verification & Validation) Level 1 to support & lead the System Engineering strategy for Verification & Validation of future products. The scope of this role includes:
Developing the Systems engineering approach to Verification & validation for future Bentley products
Leading in depth technical reviews to optimise validation plans.
Creating & managing VVP (Verification & Validation Plan)
Analysing function feedback and challenging digital vs physical testing requirements
Developing the Systems engineering approach to Verification & validation
Developing the V&V strategy
Managing and maintaining VVP
Coordination and management of VVP inputs
Generate KPI’s to track progress.
","Systems Engineer Manager postings typically ask you to: Manage and mentor a team of talented engineers, fostering a collaborative and high-performing environment. Coordinate cross-functional projects, ensuring seamless integration of various subsystems with technical specifications and industry standards. Work with the Customer Accounts Team to capture customer requirements and manage this through the bid and project life cycle. Manage engineers personal development plans/performance and recruitment of new engineers into business."
software engineer with global technology leader,Software Engineer With Global Technology Leader,engineering,31,1,,0,0.0,,0.0,,Software Engineering Graduate with Global Technology Leader,Gradfuel,"We are looking for graduates to join our Software Engineering team.
This is an exciting engineering graduate programme designed to create the next generation of aspiring technical experts, specialists and leaders in the UK. We are looking for people with a passion for engineering combined with an inquisitive mind and an intrinsic interest in people, leadership and success through teamwork.
This is a three-year rotational programme, consisting of three, one year long placements:
For the first two years, you will complete two year long placements. Rotating across the sites around the country, across the different business units experiencing the engineering lifecycle. You will be assigned to a new or existing program where you will work with and be supported by other engineers to design and develop engineering solutions to meet the needs of our customers
In the third year of the scheme, you will complete a further one year long placement to allow you to start building and consolidating your knowledge in your chosen area. This will align to where you will complete the programme
During your time on the programme, you will be under the sponsorship and guidance of the Engineering Leadersh",Postings for Software Engineer With Global Technology Leader do not phrase their day-to-day duties consistently enough to summarise automatically.
sap business analyst,SAP Business Analyst,product,30,25,164320.0,1,33.3,46.2,43.3,"SAP, React, Unit Testing, System Design, SQL, ETL",SAP Business Analyst,V Group Inc.,"Client: Incture
Job Title: SAP Business Analyst (Warehouse)
Location: Columbus, Mississippi (ONSITE)
Position Type: 12+ Months (Contract)
Number of Hours: 40 Hrs/ week
Interview Type: Webcam
Ceipal ID: INC_SAP137_SB
Requirement ID: Incture13072023
Responsibilities
Processes improvement - document existing processes, identify and analyze gaps between current processes and the desired state, design new processes, develop process performance measures and plan the transition to new processes as needed
Follow policies and procedures including, but not limited to, Change Control, project management methodology, SOX controls
Leverage SAP industry standards and best practice
Serve as a key liaison between Supply Chain Operations and IT Development team to provide systems analysis and support
Partner with IT development team to test solutions, including updating appropriate documentation to Ensure smooth system integration and enhanced functionalities
Takes a lead role in working with peers to develop standards processes, procedures and documentation
Required /Desired Skills/ Experience/ Education
5+ years Strong understanding of various SAP Warehouse, Materials Management, or Production Pl",SAP Business Analyst postings typically ask you to: Document the requirements in Business process blueprint documents. Design the solution to meet the business requirements. Create Functional specifications and Functional design documents. Assist with internal/external audit requests and monthly/quarterly User Access Reviews to meet SOX compliance.
software engineer in test,Software Engineer In Test,engineering,30,23,157600.0,5,73.3,100.0,20.0,"Python, Java, CI/CD, Data Analysis, Jira, AWS",Principal Software Engineer in Test,Intellectt Inc,"Job Summary
The Principal Software Engineer in Test as part of the Digital Factory is responsible for theplanning, designing, developing frameworks and procedures to automate testing on our clinical decision support solutions. The Principal Software Engineer in Test will work in a diverse team of Software Engineers and the core leadership team in an agile development environment creating a scalable plan for the future of test automation supporting multiple releases. This position plays a cricital role in laying the foundation for the System Testing function, shaping the development of Werfen digital products for years to come.
Key Accountabilities
• Under minimal supervisions, design and develop test framework/tools to achieve the efficiency and productivity to ensure functionality, reliability, performance, scalability of cloud
• Develop automation tools/web application for busines need using angular
• Research the new tools in the market which can fit for our business need and full fill our stakeholder’s requirement
• Using a wide range of cutting-edge technology to innovate while testing/developing
• Design scalable infrastructure for test execution
• Explore new ways to expedit","Software Engineer In Test postings typically ask you to: Document design history as required by the standard operating procedures. Create and maintain data scenarios to support test plans and test cases. Document track bugs to closure and report project status to stakeholders. Coordinate with scrum master, product owner and developers to implement test automation and CI/CD practices."
machine learning scientist,Machine Learning Scientist,ai,29,17,216425.0,6,41.4,85.7,24.1,"Machine Learning, Deep Learning, NLP, Prototyping, Data Analysis, Spark",Machine Learning Scientist,"Lynntech, Inc.","Lynntech, Inc., a rapidly growing technology development company specializing in transitioning innovative ideas and concepts into marketable products, is seeking a highly motivated and creative researcher to join our team. All work is done on our campus, remote work is not an option.
We Have An Opening For a Machine Learning (ML) Scientist To Develop Novel Platforms For Unsolved Or Frontier Challenges In This Domain. The Candidate Should Preferably Have 2 Years Of Relevant R&D Experience (industrial Or Academic), And Must Have Demonstrated Expertise In One Or More Of The Following Areas
The Research Scientist Is Responsible For
Designing, developing, and evaluating product-focused solutions utilizing machine learning methods, deep learning, computer vision, or natural language processing.
Working collaboratively on complex problems using machine learning to provide customized product solutions, such as intelligent systems, autonomous systems, improving training experience, and simplifying workflow processes.
Programming and Software Engineering with a strong focus on Machine Learning algorithms and methods.
Familiarity with evaluation of AI algorithm performance, Generative methods","Machine Learning Scientist postings typically ask you to: Analyze and preprocess experimental data, including DNA, RNA, and protein sequences and structural data for model training and validation. Plan and execute machine learning experiments, and set milestones and timelines to achieve research objectives. Collaborate with biologists and computational biologists to ensure data quality and relevance. Collaborate with gene editing and molecular biology experts to integrate model insights into the design process."
ios developer,iOS Developer,engineering,29,24,106250.0,2,51.7,46.2,44.8,"Swift, Git, GitHub, JSON, CI/CD, React",iOS Developer,Galaxy i technologies Inc,"Role : IOS Developer
Location : Austin,TX
Full time role
VISA TYPES : ONLY GREENCARD ,US CITIZEN
Responsibilities
Design and build applications for the iOS platform
Ensure the performance, quality, and responsiveness of applications
Collaborate with a team to define, design, and ship new features
Identify and correct bottlenecks and fix bugs
Help maintain code quality, organization, and automatization
Required Skills
5-12 years of overall experience.
Proficient with Swift and Objective C and have experience in ARkit, Reality kit for 3D projects
Experience in Enterprise iOS Applications.
Must have knowledge and Experience in Data Structures and Algorithms.
Must be organized, accurate, detail-oriented, and ability to multi-task
Experience with iOS frameworks such as Core Data, Core Animation, etc.
Experience with offline storage, threading, and performance tuning
Familiarity with RESTful APIs to connect iOS applications to back-end services
Understanding of Apple’s design principles and interface guidelines
Proficient understanding of code versioning tools such as Git, SVN etc.
Familiarity with continuous integration
Note: If you are available please share your updated resume at kaly","iOS Developer postings typically ask you to: Collaborate with cross-functional teams to gather requirements and translate them into technical specifications. Implement intuitive and visually appealing user interfaces, ensuring a seamless user experience. Optimize application performance, including responsiveness and memory management. Conduct thorough testing and debugging to ensure the delivery of reliable and high-quality applications."
data engineer manager,Data Engineer Manager,data,29,18,201175.0,4,100.0,75.0,27.6,"AWS, Data Warehousing, ETL, Big Data, Data Governance, Machine Learning",Data Engineering Manager,Alcority,"Job Summary
Alcority, a global professional services firm, is looking for an experienced Data Engineering Manager. The Data Engineering Manager, reporting to the Data Solutions Architect, expand and lead our data engineering team. As a strategic partner to a number of investments and operating companies around the world, Alcority is responsible for delivering technology solutions that help our partners create a competitive advantage. The ideal candidate will have strong leadership skills, technical expertise in data engineering, and excellent communication skills. The Data Engineering Manager will be responsible for overseeing the development and maintenance of our data engineering architecture, data pipelines, and data platforms, and must have experience in managing data engineering teams and working with the latest cloud based and Informatica SaaS technologies. He/she will have a passion for data with a keen interest to not only understand the technical components, but also understand the business context and impact of technical solutions that are provided.
The candidate can prioritize competing requirements, strategize development, guide in developing scalable solutions, and lev","Data Engineer Manager postings typically ask you to: Partner with security and legal domain experts to ensure guardrails for data governance. Manage end-to-end data engineering projects, collaborating with cross-functional teams to deliver scalable and reliable data solutions. Design and implement scalable and performant data models within the Snowflake environment. Develop and optimize complex SQL queries for data retrieval, transformation, and analysis."
cybersecurity specialist,Cybersecurity Specialist,security,29,18,123325.0,3,72.4,50.0,27.6,"Cybersecurity, Risk Management, Python, Splunk, Azure, CISSP",Cybersecurity Specialist,TRAX International Corporation,"This position is responsible for monitoring workstations and servers using approved Army IA tools, testing and deploying security updates, developing cybersecurity reports, and developing application installation packages. Primary responsibilities include conducting vulnerability assessments and implementing corrections. The Cybersecurity Specialist will also be responsible for maintaining approved workstation image(s), analyzing system logs to identify potential issues, and troubleshooting windows operating systems and application issues. The Cybersecurity Specialist will work with automated tools to perform audits as well as conduct manual audits to verify the accuracy of the automated tools. Must be able to read, understand and perform the actions required of a DISA Security Technical Implementation Guide (STIG). Must be able to create and maintain documentation as required. Performs other duties as required to complete the assigned mission. Deploys upgrades, patches and general security measures to secure and/or mitigate threats.
Pay Rate:
DOE
Education/Licenses/Certifications/Experience Requirements:
* Must possess a high school diploma or equivalent.
* Must be IAT II certifie","Cybersecurity Specialist postings typically ask you to: Conduct Cybersecurity compliance and A&A documentation validation assessments for applications, systems and networks. Develop, or expand existing, A&A and Cybersecurity documentation to ensure complete documentation exists in accordance with DOD A&A and Cybersecurity policy. Collaborate with stakeholders to ensure systems are compliant with relevant DOD and Army cybersecurity policies and instructions. Ensure plans are aligned with industry standards, such as NIST 800-53, and are tailored to the organization's specific needs."
service now product owner,Service Now Product Owner,product,29,1,,0,0.0,100.0,100.0,ServiceNow,Service Now Product Owner - IRM/GRC - Remote,KPMG US,"Requisition Number:
108643 - 47
Description:
Known for being a great place to work and build a career, KPMG provides audit, tax and advisory services for organizations in today's most important industries. Our growth is driven by delivering real results for our clients. It's also enabled by our culture, which encourages individual development, embraces an inclusive environment, rewards innovative excellence and supports our communities. With qualities like those, it's no wonder we're consistently ranked among the best companies to work for by Fortune Magazine, Consulting Magazine, Working Mother Magazine, Diversity Inc. and others. If you're as passionate about your future as we are, join our team.
KPMG is currently seeking a ServiceNow Product Owner to join our Digital Nexus technology organization. This is a remote work opportunity.
Responsibilities:
Lead the responsibilities of a product owner including the technical consultation, configuration, development of stories based on user requirements and Agile Team delivery
Provide subject matter expertise in the ServiceNow Platform including the IRM/GRC Product suite of applications and capabilities
Work closely with key business sta",Postings for Service Now Product Owner do not phrase their day-to-day duties consistently enough to summarise automatically.
specialist solutions architect,Specialist Solutions Architect,data,28,2,193500.0,1,10.7,,0.0,"Databricks, Spark, Big Data, Kafka, Data Warehousing, Data Governance",Specialist Solutions Architect - Data Engineering,Databricks,"FEQ125R27
This role can be remote,
specifically targeting candidates
in the Eastern Time Zone.
As a Specialist Solutions Architect (SSA) - Data Engineering, you will guide customers in building big data solutions on Databricks that span a large variety of use cases. You will be in a customer-facing role, working with and supporting Solution Architects, that requires hands-on production experience with Apache Spark™ and expertise in other data technologies. SSAs help customers through design and successful implementation of essential workloads while aligning their technical roadmap for expanding the usage of the Databricks Data Intelligence Platform. As a deep go-to-expert reporting to the Specialist Field Engineering Manager, you will continue to strengthen your technical skills through mentorship, learning, and internal training programs and establish yourself in an area of specialty - whether that be streaming, performance tuning, industry expertise, or more.
The Impact You Will Have
Provide technical leadership to guide strategic customers to successful implementations on big data projects, ranging from architectural design to data engineering to model deployment
Architect produ",Postings for Specialist Solutions Architect do not phrase their day-to-day duties consistently enough to summarise automatically.
robotics software engineer,Robotics Software Engineer,engineering,28,17,168750.0,4,71.4,66.7,10.7,"C++, Python, Data Analysis, JavaScript, Machine Learning, Deep Learning",Robotics Software Engineer,Anduril Industries,"Anduril Industries is a defense technology company with a mission to transform U.S. and allied military capabilities with advanced technology. By bringing the expertise, technology, and business model of the 21st century’s most innovative companies to the defense industry, Anduril is changing how military systems are designed, built and sold. Anduril’s family of systems is powered by Lattice OS, an AI-powered operating system that turns thousands of data streams into a realtime, 3D command and control center. As the world enters an era of strategic competition, Anduril is committed to bringing cutting-edge autonomy, AI, computer vision, sensor fusion, and networking technology to the military in months, not years.
The Vehicle Autonomy (Robotics) team at Anduril develops aerial and ground-based robotic systems. The team is responsible for taking products like Ghost, Anvil, and our Sentry Tower from paper sketches to operational systems. We work in close coordination with specialist teams like Perception, Autonomy, and Manufacturing to solve some of the hardest problems facing our customers. We are looking for software engineers and roboticists excited about creating a powerful robot","Robotics Software Engineer postings typically ask you to: Support software and system infrastructure upgrades as needed. Document software designs, reviews and processes. Design, evaluate, and implement sensor integrations that support operation by both human and autonomous planning agents. Work closely with our hardware and manufacturing teams during product development, providing quick feedback that contributes to th."
software systems engineer,Software Systems Engineer,devops,28,17,145400.0,2,92.9,41.7,42.9,"C++, Python, System Design, SQL, Unit Testing, Bash",Senior Software Systems Engineer,Raytheon,"Date Posted:
2023-11-17
Country:
United States of America
Location:
PA601: 302 Science Park Road, Bldg 5A 302 Science Park Road Building 5A, State College, PA, 16803-2214 USA
Position Role Type:
Onsite
At Raytheon, the foundation of everything we do is rooted in our values and a higher calling to help our nation and allies defend freedoms and deter aggression. We bring the strength of more than 100 years of experience and renowned engineering expertise to meet the needs of today’s mission and stay ahead of tomorrow’s threat. Our team solves tough, meaningful problems that create a safer, more secure world.
Job Summary:
Raytheon is seeking a Senior Software Systems Engineer to work in a collaborative, interactive development environment. Senior Systems Engineers provide technical direction and clarification of requirements to software development teams & test personnel, perform system engineering analyses including trade studies, algorithm development, requirements definition and derivation, interface definition, and requirement validation and verification. Senior Systems Engineers support definition of operations concepts and procedure planning / development, interface with personn","Software Systems Engineer postings typically ask you to: Oversee the development process, ensuring adherence to technical, cost, and schedule objectives. Coordinate with stakeholders and participate in program management reviews and technical reviews. Ensure compliance with DoD technical standards and DoD 5000 guidelines. Manage integration of software components into larger systems."
cyber systems engineer,Cyber Systems Engineer,security,28,5,157000.0,3,100.0,0.0,17.9,"Cybersecurity, Risk Management, DevOps, Linux, Jenkins, CI/CD",Principal Cyber Systems Engineer with Security Clearance,ClearanceJobs,"Responsibilities
At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. We look for people who have bold new ideas, courage and a pioneering spirit to join forces to invent the future, and have fun along the way. Our culture thrives on intellectual curiosity, cognitive diversity and bringing your whole self to work - and we have an insatiable drive to do what others think is impossible. Our employees are not only part of history, they're making history. At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landin",Cyber Systems Engineer postings typically ask you to: Write/update CloudFormation scripts. Assist with the design and develop system security architectures. Assist with the definition of key capabilities and performance requirements. Develop an understanding of system interfaces and how to protect them.
it systems administrator,IT Systems Administrator,network_infra,27,23,108750.0,3,51.9,66.7,22.2,"Windows, Azure, VMware, Firewalls, Linux, PowerShell",Senior IT Systems Administrator,Tilley Distribution,"Job Summary
The Senior IT System Administrator is responsible for overseeing and managing the computer system operations in the organization. Monitor the performance of software, hardware, network, and servers. Install and configure new servers and applications as needed. Provide technical consulting and troubleshooting for various IT tools, such as Office 365, Azure, AD, in-house applications, and Powershell/Scripting. The IT Senior System Administrator will also be responsible for assisting in Cyber Security tasks.
Essential Functions / General Accountabilities
Configure internal systems
Diagnose and troubleshoot technical issues
Act as level 3 support for internal service desk
Upgrade and manage the network infrastructure
Install and manage servers, network devices, and firewalls
Train new system users and set up their accounts
Monitor the performance of servers, software, and hardware
Ensure the smooth deployment of new applications
Update technical documentation
Assist in Cyber Security tasks
Maintain good working relationships with external vendors
Job Qualifications
Work experience as a Senior System Administrator
Good knowledge of at least one scripting language
Solid under","IT Systems Administrator postings typically ask you to: Administer Red Hat Enterprise Linux (RHEL) operating systems, Puppet Enterprise, and Red Hat Satellite. Work with software containerization and cloud technologies including Amazon Web Services and Microsoft Azure. Build relationships with stakeholders by proactively communicating relevant information and discussing their needs, initiatives, and service levels through periodic me. Perform routine backups and disaster recovery operations."
help desk specialist,Help Desk Specialist,it_support,27,21,56130.0,2,18.5,0.0,33.3,"Windows, Active Directory, Excel, ServiceNow, Incident Response, Workday",Help Desk Specialist,Robert Half,"We are looking for a Help Desk Specialist with exceptional customer service skills to provide technical support to users. If you are a person with ability to absorb and retain information quickly. and to present ideas in user-friendly language, then you are the one we are looking for!
Duties and responsibilities
Provide technical assistance and support for incoming queries and issues related to computer systems, software, and hardware
Walk customer through problem-solving process
Follow up with customers to ensure issue has been resolved
Supports operation of help desk and serves as focal point for customer concerns
Identifies, researches, and resolves technical problems for end users on a variety of issues
Responds to telephone calls, email and personnel requests for technical support from local and remote customers
Run reports to determine malfunctions that continue to occur
Requirements
2+ years of experience providing level 1 or above help desk support in IT operations
Excellent communication skills
Experience assisting customers on phone and live chat, email, social media and web form submissions
Proven analytical and problem-solving abilities
Ability to effectively prioritize","Help Desk Specialist postings typically ask you to: Collaborate closely with the team of Senior Service Delivery Specialists to ensure effective support delivery. Manage multiple tasks, issues, and tickets concurrently. Document all interactions in the ticketing system. Collaborate on the implementation and maintenance of IT systems."
desktop support analyst,Desktop Support Analyst,it_support,27,22,70782.0,2,18.5,20.0,37.0,"Windows, Active Directory, Excel, ServiceNow, Firewalls, PowerShell",Desktop Support Analyst,"Vector Consulting, Inc","Our government client is looking for an experienced
Desktop Support Analyst
on a 6+ months’ renewable contract
opportunity
in
Indianapolis, IN.
Position:
Desktop Support Analyst
Job Summary:
OVERVIEW
This position is required for assisting the Project Managers and Deployment Leads in implementation of statewide PC Refresh Projects on a 4 year rotating schedule to replace all state-issued PC computers allowing the agency to efficiently support IT resources across the state.
The duties of this position are to support the PC Refresh Project Managers and Deployment Leads by installing new PCs for Agencies' PC Refresh Projects. Following the established processes and checklists to ensure the end user has all the necessary software and settings on the new PC. Backing up, protecting, and restoring data will be an essential task for this position. Updating documentation and completing e-install forms required. Will be the lead tech and point of contact onsite for large deployments. Customer service is also a crucial element for this position. This position will perform other duties as assigned.
EXPERIENCE DESCRIPTION
Associates or Bachelors Degree in Computer Science or equivalent experien","Desktop Support Analyst postings typically ask you to: Install and configure software, print drivers, utilities, etc. Troubleshoot all information technology issues, including software, hardware, and networking. Monitor installed systems, identify problems, and take corrective action. Troubleshoot application issues, and basic diagnosis of desktop/laptop software problems."
digital product manager,Digital Product Manager,product,26,13,108775.0,2,100.0,25.0,15.4,"User Research, Segment, A/B Testing",Digital Product Manager - Vice President,JPMorgan Chase & Co.,"Job Description
You enjoy shaping the future of product innovation as a core leader, driving value for customers, guiding successful launches, and exceeding expectations. Join our dynamic team and make a meaningful impact by delivering high-quality products that resonate with clients.
As a Product Manager in Commercial Banking Digital Product Team, you are an integral part of the team that innovates new product offerings and leads the end-to-end product life cycle. As a core leader, you are responsible for acting as the voice of the customer and developing profitable products that provide customer value. Utilizing your deep understanding of how to get a product off the ground, you guide the successful launch of products, gather crucial feedback, and ensure top-tier client experiences. With a strong commitment to scalability, resiliency, and stability, you collaborate closely with cross-functional teams to deliver high-quality products that exceed customer expectations.
Job Responsibilities
Develop strategic product roadmaps, feature roadmaps, drive prioritization of features while balancing customer/business impacts, and create detailed business requirements intended for digital ar","Digital Product Manager postings typically ask you to: Work collaboratively to develop a point of view and thought leadership regarding features, design, technologies, tools, competitors and potential partners. Work to consolidate and integrate product requirements across partners and prioritize investments. Support development and maintenance appropriate controls and governance. Support management of client im."
product owner,Product Owner,product,26,21,132700.0,1,34.6,50.0,15.4,"Jira, Confluence, Figma, DevOps, Kanban, Azure",Principal Product Owner,Discover Financial Services,"Discover. A brighter future.
With us, you’ll do meaningful work from Day 1. Our collaborative culture is built on three core behaviors: We Play to Win, We Get Better Every Day & We Succeed Together. And we mean it — we want you to grow and make a difference at one of the world's leading digital banking and payments companies. We value what makes you unique so that you have an opportunity to shine.
Come build your future, while being the reason millions of people find a brighter financial future with Discover.
Job Description
Product Owner ensures an outcome for a product is delivered that meets the requests from stakeholders and customers. This requires a fundamental understanding of the business and its constraints (financial, marketing, compliance, legal, service, the customer environment, the technical capabilities, the user experience, etc.) in order to provide a solution that satisfies all stakeholders and customers. Actively manages and escalates risk and customer-impacting issues within the day-to-day role to management.
Responsibilities
Interacts and collaborates with stakeholders on key product considerations and aligns with product vision, features and roadmap. Leverages ",Product Owner postings typically ask you to: Create and maintain in partnership with the Enterprise Architect and Solutions Team and Product Delivery Teams in producing the roadmap based on the vision. Collaborate with Product Manager to make decisions on what goes into product. Lead focus group discussions with stakeholders to elicit feedback on solutions. Provide demos and communication of direction to stakeholders.
it developer,IT Developer,engineering,26,19,90407.0,2,42.3,85.7,53.8,"SQL, Salesforce, Azure, JavaScript, CSS, HTML",IT Developer,FullBloom,"Description
IT Developer
Job Description
The IT Developer is responsible for providing solutions, technical designs, architecture, and support for enterprise software and systems. This entails incorporating commercial off the shelf solutions with the organization’s internally created software solutions and legacy IT systems. Other duties the developer performs include participating in software selection, code reviews, and documenting the development process.
Key Responsibilities
Write clean, scalable code using various programming languages and SQL database languages.
Test and deploy applications and systems using {list tools used for release/code repo}.
Revise, update, refactor and debug code.
Develop documentation throughout the software development life cycle (SDLC).
Serve as an expert on applications and provide technical support.
Ensure best practice application to maintain security and integrity of data.
Essential Skills/ Qualifications
Must have at least BS/BA degree or equivalent education. Technical certifications preferred.
Must have a minimum of three years of professional experience developing software solutions; experience with working on systems hosted in Amazon Web S",IT Developer postings typically ask you to: Develop high quality software design and architecture. Ensure code conforms to established methodologies and standards. Maintain the integrity and security of company systems and data. Create and maintain system documentation and user training materials.
group product manager,Group Product Manager,product,26,12,204500.0,3,100.0,88.9,34.6,"Data Warehousing, Machine Learning, Segment, Jira, Confluence, User Research","Group Product Manager, Platform",Clio - Cloud-Based Legal Technology,"Clio is more than just a tech company–we are a global leader that is transforming the legal experience for all by bettering the lives of legal professionals while increasing access to justice.
Summary:
Clio’s portfolio of products is rapidly growing. The platform layer that powers this multi product world utilizes a range of technologies covering telecom, data warehousing and visualization, app ecosystem, APIs and developer platforms, SSO and RBAC, license management, customer billing and other capabilities. Clio is seeking a dynamic and experienced
Group Product Manager
to lead the development and evolution of our platform-layer services and capabilities. As the market leader in legal technology, Clio is committed to delivering world-class solutions that enable legal professionals to streamline their workflows, enhance collaboration, and provide exceptional client experiences.
This role can be performed from one of our Canadian offices in a hybrid setting. Some exceptions may apply.
What you’ll work on:
As the Group Product Manager for Platform at Clio, you will spearhead the visioning, strategic planning and roadmap execution of platform level solutions that can be leveraged by o","Group Product Manager postings typically ask you to: Drive innovation and differentiation through the introduction of new features, enhancements, and integrations to maintain Clio's position as a market leader. Lead and inspire a cross-functional team of product managers, engineers, designers, and other stakeholders to deliver high-quality platform-layer products. Collaborate closely with legal experts, technology teams, and stakeholders to align product development with the specific needs of law firms. Partner closely with engineering leadership on crafting and executing the AI vision, strategy and roadmap."
classified cybersecurity analyst,Classified Cybersecurity Analyst,security,26,3,130800.0,3,92.3,,0.0,"Cybersecurity, Prototyping",Principal Classified Cybersecurity Analyst,Northrop Grumman,"At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. We look for people who have bold new ideas, courage and a pioneering spirit to join forces to invent the future, and have fun along the way. Our culture thrives on intellectual curiosity, cognitive diversity and bringing your whole self to work - and we have an insatiable drive to do what others think is impossible. Our employees are not only part of history, they're making history.
Information Systems Security Professionals, We Want You!
Cyber assets everywhere are under siege from a wide spectrum of threats. Almost daily, these threats grow in sophistication, breadth and speed.
Support our entire enterprise and build the networks, staff the teams, and develop the processes that will keep us defining what's possible. We have opportunities across our enterprise with 90,000 team membe","Classified Cybersecurity Analyst postings typically ask you to: Support our entire enterprise and build the networks, staff the teams, and develop the processes that will keep us defining what's possible."
cyber security specialist,Cyber Security Specialist,security,26,21,156000.0,3,65.4,66.7,34.6,"Cybersecurity, Risk Management, Firewalls, Azure, Incident Response, Windows",Senior Cyber Security Specialist,Eliassen Group,"Job Description
**Remote**
Our client is looking for a Senior Cyber Security Specialist to complement their existing team.
We can facilitate w2 and corp-to-corp consultants. For our w2 consultants, we offer a great benefits package that includes Medical, Dental, and Vision benefits, 401k with company matching, and life insurance.
Responsibilities Of The Senior Cyber Security Specialist
Assist in managing the vulnerability management program and associated technologies
Provide program oversight and reporting and manage the day-to-day operations of the Tenable Vulnerability Management tool
Analyze credentialed scan results, identify failures and work with appropriate resources to implement corrections as needed to reduce/eliminate overdue vulnerabilities
Respond to ad hoc scan requests and assist with monthly maintenance activities
Take pride in the quality of their work, and the effectiveness of the cyber security controls for which they are responsible
Requirements of the Senior Cyber Security Specialist:
Bachelor’s Degree in Information Security / Assurance, Computer Science, Information Technology, or a related discipline, or equivalent work experience or technical training with ","Cyber Security Specialist postings typically ask you to: Conduct threat and risk analysis and analyze the business impact of new and existing systems and technologies to eliminate risk, performance, and capacity issues. Analyze, investigate, test, evaluate, and deploy security technology and procedures. Develop custom systems for specialized security features and procedures for software systems, networks, data centers, and hardware. Develop and implement information security standards, guidelines, and procedures."
